number,origin,destination,code,distance,duration,toll
98,"106.402117,29.80278","106.457473,29.727665",0,13812,1080,0
99,"106.402117,29.80278","106.580008,29.505844",0,51401,3300,0
0,"106.591886,29.533428","106.384825,29.676384",0,40809,3060,0
1,"106.591886,29.533428","106.556809,29.517229",0,10987,1320,0
2,"106.591886,29.533428","106.57485,29.733029",0,33850,2940,0
3,"106.591886,29.533428","106.569953,29.481373",0,13561,1680,0
4,"106.591886,29.533428","106.515487,29.624322",0,19305,1740,0
5,"106.591886,29.533428","106.563185,29.465776",0,16775,2100,0
6,"106.591886,29.533428","106.794496,29.687276",0,39138,2760,9
7,"106.591886,29.533428","106.56982,29.584005",0,8930,1680,0
8,"106.591886,29.533428","106.423114,29.838559",0,50275,3360,0
9,"106.591886,29.533428","106.483385,29.629215",0,23301,2100,0
10,"106.591886,29.533428","106.411922,29.810434",0,47967,3240,0
11,"106.591886,29.533428","106.545594,29.500913",0,19133,2160,0
12,"106.591886,29.533428","106.372849,29.634566",0,46885,3420,0
13,"106.591886,29.533428","106.537811,29.590335",0,12076,2100,0
14,"106.591886,29.533428","106.575366,29.577498",0,8123,1620,0
15,"106.591886,29.533428","106.633012,29.717755",0,38431,3480,0
