number,origin,destination,code,distance,duration,toll
2,"106.583517,29.661082","106.609572,29.665203",0,6939,840,0
3,"106.583517,29.661082","106.641637,29.612773",0,15673,1320,0
4,"106.583517,29.661082","106.55654,29.562133",0,15313,2100,0
5,"106.583517,29.661082","106.516845,29.616736",0,11840,1320,0
6,"106.583517,29.661082","106.55654,29.562133",0,15313,2100,0
7,"106.583517,29.661082","106.55654,29.562133",0,15313,2100,0
8,"106.583517,29.661082","106.520006,29.557101",0,20790,2340,0
9,"106.583517,29.661082","106.350857,29.523768",0,49836,3000,0
10,"106.583517,29.661082","106.564296,29.654847",0,5000,720,0
11,"106.583517,29.661082","106.402117,29.80278",0,31697,1980,0
12,"106.583517,29.661082","106.448115,29.518068",0,30797,3480,0
13,"106.583517,29.661082","106.575232,29.723521",0,8980,900,0
14,"106.583517,29.661082","106.714731,29.464225",0,38636,3000,6
15,"106.583517,29.661082","106.524603,29.541083",0,21544,2820,0
16,"106.583517,29.661082","106.548418,29.585873",0,11992,1560,0
17,"106.583517,29.661082","106.539246,29.599319",0,13319,1440,0
18,"106.583517,29.661082","106.333469,29.309595",0,58999,5340,0
19,"106.583517,29.661082","106.533262,29.609008",0,12082,1320,0
20,"106.583517,29.661082","105.742796,29.697112",0,141570,10500,0
21,"106.583517,29.661082","106.396445,29.653095",0,39481,2940,0
22,"106.583517,29.661082","106.424981,29.816815",0,33437,2220,0
23,"106.583517,29.661082","106.437744,29.834768",0,34468,2340,0
24,"106.583517,29.661082","106.48994,29.601242",0,15472,1620,0
25,"106.583517,29.661082","106.609065,29.657856",0,6705,660,0
26,"106.583517,29.661082","106.578811,29.583062",0,13412,1560,0
27,"106.583517,29.661082","106.33835,29.715338",0,35964,2280,0
28,"106.583517,29.661082","106.498158,29.548044",0,23090,2820,0
29,"106.583517,29.661082","106.48455,29.561045",0,20915,2460,0
30,"106.583517,29.661082","106.48455,29.561045",0,20915,2460,0
31,"106.583517,29.661082","106.609065,29.657856",0,6705,660,0
32,"106.583517,29.661082","106.472794,29.565228",0,22191,2340,0
33,"106.583517,29.661082","106.51144,29.595375",0,15007,1740,0
34,"106.583517,29.661082","106.417592,29.804513",0,32198,2040,0
35,"106.583517,29.661082","106.532388,29.658287",0,8433,1020,0
36,"106.583517,29.661082","106.455966,29.510073",0,29414,3240,0
37,"106.583517,29.661082","106.517691,29.624592",0,11796,1380,0
38,"106.583517,29.661082","106.619487,29.698856",0,8305,1200,0
39,"106.583517,29.661082","106.560036,29.793809",0,18396,1260,0
40,"106.583517,29.661082","106.341044,29.605",0,42446,2580,0
41,"106.583517,29.661082","106.469056,29.59934",0,18548,1980,0
42,"106.583517,29.661082","106.50817,29.588904",0,16962,1800,0
43,"106.583517,29.661082","106.545289,29.741987",0,13611,1020,0
44,"106.583517,29.661082","106.632519,29.713308",0,10730,1560,0
45,"106.583517,29.661082","106.57406,29.645788",0,3190,480,0
46,"106.583517,29.661082","106.527229,29.467279",0,30628,3600,0
47,"106.583517,29.661082","106.575573,29.692734",0,5728,660,0
48,"106.583517,29.661082","106.454977,29.548087",0,24479,2640,0
49,"106.583517,29.661082","106.489784,29.538306",0,25389,2940,0
50,"106.583517,29.661082","106.479904,29.554766",0,23671,2460,0
51,"106.583517,29.661082","106.544137,29.415566",0,58257,5940,0
52,"106.583517,29.661082","106.575235,29.57739",0,11663,1440,0
53,"106.583517,29.661082","106.611387,29.958465",0,42584,3060,0
54,"106.583517,29.661082","106.238898,29.586376",0,54325,4200,0
55,"106.583517,29.661082","106.538333,29.575092",0,13839,2100,0
56,"106.583517,29.661082","106.69207,29.535359",0,28024,2700,0
57,"106.583517,29.661082","106.529903,29.539833",0,18217,2220,0
58,"106.583517,29.661082","106.528709,29.434222",0,30714,3540,0
59,"106.583517,29.661082","106.559716,29.670023",0,10906,1140,0
60,"106.583517,29.661082","106.520534,29.545507",0,22171,3000,0
61,"106.583517,29.661082","106.533997,29.565588",0,18123,2100,0
62,"106.583517,29.661082","106.475918,29.5642",0,24153,2640,0
63,"106.583517,29.661082","106.583453,29.560892",0,16562,2400,0
64,"106.583517,29.661082","106.333469,29.309595",0,58999,5340,0
65,"106.583517,29.661082","106.682204,29.624552",0,15272,1320,0
66,"106.583517,29.661082","106.682204,29.624552",0,15272,1320,0
67,"106.583517,29.661082","106.500604,29.594106",0,15380,1740,0
68,"106.583517,29.661082","106.484789,29.62849",0,14726,1440,0
69,"106.583517,29.661082","106.528709,29.434222",0,30714,3540,0
70,"106.583517,29.661082","106.559528,29.670285",0,10890,1140,0
71,"106.583517,29.661082","106.518865,29.504375",0,24260,2760,0
72,"106.583517,29.661082","106.499266,29.620207",0,13726,1320,0
73,"106.583517,29.661082","106.465902,29.573581",0,27417,2940,0
74,"106.583517,29.661082","106.576256,29.557443",0,15472,2340,0
75,"106.583517,29.661082","106.461372,29.532614",0,27175,3120,0
76,"106.583517,29.661082","106.556882,29.568347",0,18157,2040,0
77,"106.583517,29.661082","106.682204,29.624552",0,15272,1320,0
78,"106.583517,29.661082","106.548222,29.581026",0,12785,1680,0
79,"106.583517,29.661082","106.408096,29.803608",0,31456,1920,0
80,"106.583517,29.661082","106.520058,29.605993",0,18453,2040,0
81,"106.583517,29.661082","106.484414,29.754229",0,17473,1320,0
82,"106.583517,29.661082","106.499084,29.620278",0,13092,1380,0
83,"106.583517,29.661082","106.351461,29.5216",0,48311,2880,0
84,"106.583517,29.661082","106.518746,29.625885",0,11606,1260,0
85,"106.583517,29.661082","106.506101,29.596163",0,15374,1680,0
86,"106.583517,29.661082","106.648847,29.089485",0,85974,8880,0
87,"106.583517,29.661082","106.303766,29.332745",0,58921,5280,0
88,"106.583517,29.661082","106.564655,29.639156",0,3763,840,0
89,"106.583517,29.661082","106.611483,29.711383",0,9980,1200,0
90,"106.583517,29.661082","106.441199,29.397201",0,51149,4980,0
91,"106.583517,29.661082","106.453437,29.546603",0,25351,2940,0
92,"106.583517,29.661082","106.573154,29.560096",0,15660,2100,0
93,"106.583517,29.661082","106.501284,29.585424",0,16782,2040,0
94,"106.583517,29.661082","106.548222,29.581026",0,12785,1680,0
95,"106.583517,29.661082","106.491675,29.63761",0,16130,1320,0
96,"106.583517,29.661082","106.491675,29.63761",0,16130,1320,0
97,"106.583517,29.661082","106.491675,29.63761",0,16130,1320,0
98,"106.583517,29.661082","106.491675,29.63761",0,16130,1320,0
99,"106.583517,29.661082","106.554929,29.559583",0,16483,2280,0
0,"106.437744,29.834768","106.498872,29.597912",0,38889,3120,0
1,"106.437744,29.834768","106.537816,29.62831",0,40052,3180,0
2,"106.437744,29.834768","106.656621,29.704052",0,43258,3480,0
3,"106.437744,29.834768","106.520989,29.546478",0,50709,4020,0
4,"106.437744,29.834768","106.566114,29.488635",0,55002,4860,0
5,"106.437744,29.834768","106.278841,29.390591",0,60132,4980,0
6,"106.437744,29.834768","106.38609,29.680634",0,29999,2400,0
7,"106.437744,29.834768","104.121661,30.960375",0,354488,26700,0
8,"106.437744,29.834768","114.203176,30.610257",0,1111508,83340,0
9,"106.437744,29.834768","108.895401,34.24374",0,883363,67680,0
10,"106.437744,29.834768","116.238701,39.899425",0,2075514,154380,10
11,"106.437744,29.834768","106.580033,29.494323",0,54629,4740,0
12,"106.437744,29.834768","106.51192,29.545792",0,50409,4140,0
13,"106.437744,29.834768","106.580033,29.494323",0,54629,4740,0
