number,origin,destination,code,distance,duration,toll,restriction
31,"106.556809,29.517229","106.488323,29.702462",0,30270,4380,0,1
32,"106.556809,29.517229","106.464633,29.556611",0,15084,2520,0,1
33,"106.556809,29.517229","106.487723,29.464073",0,14406,2280,0,1
34,"106.556809,29.517229","106.515357,29.501573",0,7525,1500,0,1
35,"106.556809,29.517229","106.800921,29.652905",0,52922,4560,0,1
36,"106.556809,29.517229","106.340831,29.626253",0,43309,4980,0,1
37,"106.556809,29.517229","106.244431,29.481045",0,46118,5160,0,1
38,"106.556809,29.517229","106.494448,29.454464",0,19660,3060,0,1
39,"106.556809,29.517229","106.488323,29.702462",0,30270,4380,0,1
40,"106.556809,29.517229","106.595651,29.423402",0,19499,2940,0,1
41,"106.556809,29.517229","106.767814,29.628511",0,56248,4860,0,1
42,"106.556809,29.517229","106.43982,29.667897",0,29857,4260,0,1
43,"106.556809,29.517229","106.478925,29.554136",0,14008,2220,0,1
44,"106.556809,29.517229","106.478925,29.554136",0,14008,2220,0,1
45,"106.556809,29.517229","106.549354,29.560878",0,8920,1920,0,1
46,"106.556809,29.517229","106.591757,29.56081",0,9234,2160,0,1
47,"106.556809,29.517229","106.744944,29.609495",0,56174,4740,0,1
48,"106.556809,29.517229","106.508461,29.602091",0,15886,3060,0,1
49,"106.556809,29.517229","106.535587,29.807428",0,43999,5520,0,1
50,"106.556809,29.517229","106.645811,29.48559",0,20604,3120,0,1
51,"106.556809,29.517229","106.772502,29.681089",0,48607,4080,0,1
52,"106.556809,29.517229","106.580104,29.560173",0,8611,1920,0,1
53,"106.556809,29.517229","106.450784,29.46597",0,17790,2760,0,1
54,"106.556809,29.517229","106.51557,29.585954",0,14284,3120,0,1
55,"106.556809,29.517229","106.44339,29.833109",0,55589,5940,0,1
56,"106.556809,29.517229","106.565222,29.664372",0,22086,3900,0,1
57,"106.556809,29.517229","106.494448,29.454464",0,19660,3060,0,1
58,"106.556809,29.517229","106.509122,29.615086",0,19424,3300,0,1
59,"106.556809,29.517229","106.508461,29.602091",0,15886,3060,0,1
60,"106.556809,29.517229","106.508461,29.602091",0,15886,3060,0,1
61,"106.556809,29.517229","106.514249,29.582631",0,15100,2640,0,1
62,"106.556809,29.517229","106.508461,29.602091",0,15886,3060,0,1
63,"106.556809,29.517229","106.6134,29.688502",0,31827,5460,0,1
64,"106.556809,29.517229","106.453638,29.650345",0,31494,4500,0,1
65,"106.556809,29.517229","106.626114,29.398649",0,23671,3360,0,1
66,"106.556809,29.517229","106.533997,29.565588",0,11346,1860,0,1
