number,origin,destination,code,distance,duration,toll,restriction
68,"106.57485,29.733029","106.581698,29.520627",0,38990,3120,0,1
69,"106.57485,29.733029","106.52288,29.550783",0,27425,2880,0,1
70,"106.57485,29.733029","106.512547,29.511351",0,34214,3180,0,1
71,"106.57485,29.733029","106.473207,29.564749",0,27301,2820,0,1
72,"106.57485,29.733029","106.481465,29.771363",0,19556,1860,0,0
73,"106.57485,29.733029","106.481465,29.771363",0,19556,1860,0,0
74,"106.57485,29.733029","106.641637,29.612773",0,22778,1920,0,0
75,"106.57485,29.733029","106.55654,29.562133",0,27042,2880,0,1
76,"106.57485,29.733029","106.57571,29.580888",0,26164,2520,0,1
77,"106.57485,29.733029","106.575313,29.577264",0,25540,2460,0,1
78,"106.57485,29.733029","106.577057,29.578312",0,26590,2580,0,1
79,"106.57485,29.733029","106.324981,29.525253",0,47161,3840,0,0
80,"106.57485,29.733029","106.54485,29.416135",0,51383,3780,0,1
81,"106.57485,29.733029","106.538812,29.657252",0,17569,2040,0,1
82,"106.57485,29.733029","106.538812,29.657252",0,17569,2040,0,1
83,"106.57485,29.733029","106.590121,29.568028",0,31172,3360,0,1
84,"106.57485,29.733029","106.487157,29.628072",0,17714,1620,0,0
85,"106.57485,29.733029","106.524603,29.541083",0,33313,3540,0,1
86,"106.57485,29.733029","106.524603,29.541083",0,33313,3540,0,1
87,"106.57485,29.733029","106.539246,29.599319",0,20093,1860,0,1
88,"106.57485,29.733029","105.738583,29.70041",0,98161,5640,60,0
89,"106.57485,29.733029","106.496322,29.619746",0,18508,1860,0,1
90,"106.57485,29.733029","106.54746,29.415515",0,51692,3840,0,1
91,"106.57485,29.733029","106.505464,29.554275",0,31047,3000,0,1
92,"106.57485,29.733029","106.424981,29.816815",0,29398,2160,0,1
93,"106.57485,29.733029","106.437744,29.834768",0,25089,1920,9,1
94,"106.57485,29.733029","105.70941,29.703558",0,100111,5940,60,1
95,"106.57485,29.733029","106.453589,29.540679",0,31660,2940,0,1
96,"106.57485,29.733029","106.412223,29.811194",0,28023,1980,0,1
